"filename", "language", "TypeScript", "JSON with Comments", "JSON", "YAML", "Prisma", "JavaScript", "SQL", "TypeScript React", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\hooks\useAuthToken.ts", "TypeScript", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -37
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\interfaces\index.ts", "TypeScript", -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -40
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\navigation\DrawerNavigation.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -72, 0, 0, -10, -82
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\navigation\TabNavigator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -123, 0, 0, -7, -130
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Auth\Auth.const.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Auth\Auth.styles.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -12
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Auth\Auth.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -169, 0, -2, -13, -184
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Chat\Chat.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -146, 0, 0, -20, -166
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Chat\ChatNavigator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, -5, -27
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Chat\Conversations.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -65, 0, -1, -5, -71
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Home\Home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, -16, -103
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Home\HomeNavigator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, -5, -60
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Inbox\Inbox.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -60, 0, -3, -6, -69
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Inbox\InboxNavigator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -5, -20
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Profile\Profile.styles.ts", "TypeScript", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -20
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Profile\Profile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -81, 0, 0, -9, -90
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Profile\ProfileNavigator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -4, -19
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\History\History.styles.ts", "TypeScript", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\History\History.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -97, 0, 0, -6, -103
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.const.ts", "TypeScript", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -42
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.styles.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\Reservations\Reservations.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -351, 0, 0, -30, -381
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.styles.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -181, 0, -10, -21, -212
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.styles.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -215, 0, -6, -26, -247
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\screens\Wash\WashNavigator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -4, 0, -17, -6, -27
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\store\ChatStore.ts", "TypeScript", -47, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -52
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\store\DeviceStatus.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\store\LoginStore.ts", "TypeScript", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\store\ReservationStore.ts", "TypeScript", -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -82
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\store\UserStore.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -25
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\types\assets.d.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\types\env.d.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\types\react-native-svg.d.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\types\react-native-wheel-datepicker.d.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\utils\InvalidateCache.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\utils\Notifications.ts", "TypeScript", -23, 0, 0, 0, 0, 0, 0, 0, 0, -9, -4, -36
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\app.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 14, 1, 16
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\index.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 0, 48
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\jobs\backgroundTasks.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 0, 45
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Auth.controller.js", "JavaScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 1, 0, 48
