"filename", "language", "TypeScript", "TypeScript React", "XML", "JSON with Comments", "SQL", "Prisma", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.const.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.styles.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.tsx", "TypeScript React", 0, 161, 0, 0, 0, 0, 0, 0, 1, 14, 176
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Chat\Chat.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Chat\ChatNavigator.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Home\Home.tsx", "TypeScript React", 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Home\HomeNavigator.tsx", "TypeScript React", 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Inbox\Inbox.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Inbox\InboxNavigator.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\Profile.styles.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\Profile.tsx", "TypeScript React", 0, 49, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\ProfileNavigator.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\History\History.styles.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\History\History.tsx", "TypeScript React", 0, 78, 0, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.const.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.styles.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservations.tsx", "TypeScript React", 0, 225, 0, 0, 0, 0, 0, 0, 1, 20, 246
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.styles.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.tsx", "TypeScript React", 0, 178, 0, 0, 0, 0, 0, 0, 10, 20, 208
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.styles.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.tsx", "TypeScript React", 0, 161, 0, 0, 0, 0, 0, 0, 2, 20, 183
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\WashNavigator.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\LoginStore.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\ReservationStore.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\UserStore.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\assets.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\env.d.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\react-native-svg.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -44, -2, 0, -46
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Auth.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -45, -1, 0, -46
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Laundry.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -25, -1, 0, -26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Reservation.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -108, -7, 0, -115
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Reservation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\Student.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -24, -1, 0, -25
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\WashingMachine.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -59, -1, 0, -60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -46, 0, -1, -47
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\studentController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -25, 0, -1, -26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\controllers\washingMachineController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -33, 0, -1, -34
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\interfaces\index.interface.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -2, -1, 0, -3
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -48, -1, 0, -49
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\routes\routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -24, -1, 0, -25
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\utils\ConvertKeys.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -21, -1, 0, -22
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\utils\ConvertTypes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -11, -1, 0, -12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\utils\Timezone.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -13, -1, 0, -14
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\utils\mqttServer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -44, -6, 0, -50
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\dist\src\utils\writeFile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\index.ts", "TypeScript", -30, 0, 0, 0, 0, 0, 0, 0, -1, -11, -42
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -4768, 0, 0, -1, -4769
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\package.json", "JSON", 0, 0, 0, 0, 0, 0, -41, 0, 0, -1, -42
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230219143736_init\migration.sql", "SQL", 0, 0, 0, 0, -5, 0, 0, 0, -1, -2, -8
