"filename", "language", "TypeScript React", "TypeScript", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\navigation\DrawerNavigation.tsx", "TypeScript React", 72, 0, 0, 0, 10, 82
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\navigation\TabNavigator.tsx", "TypeScript React", 121, 0, 0, 0, 7, 128
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\routes\routes.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.const.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.styles.ts", "TypeScript", 0, 8, 0, 0, 4, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.tsx", "TypeScript React", 169, 0, 0, 2, 12, 183
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Chat\Chat.tsx", "TypeScript React", 10, 0, 0, 0, 3, 13
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Chat\ChatNavigator.tsx", "TypeScript React", 15, 0, 0, 0, 4, 19
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Home\Home.tsx", "TypeScript React", 83, 0, 0, 0, 9, 92
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Home\HomeNavigator.tsx", "TypeScript React", 55, 0, 0, 0, 5, 60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Inbox\Inbox.tsx", "TypeScript React", 6, 0, 0, 0, 3, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Inbox\InboxNavigator.tsx", "TypeScript React", 15, 0, 0, 0, 5, 20
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\Profile.styles.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\Profile.tsx", "TypeScript React", 46, 0, 0, 0, 10, 56
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\ProfileNavigator.tsx", "TypeScript React", 15, 0, 0, 0, 4, 19
